"gene","CTR:provisioned_egg","TBT:provisioned_egg","cluster","condition","control","estimate"
"116925753",-0.404462779383271,1.42703942018324,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925836",-1.33147160191455,1.21444682342284,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925935",-0.653030803697071,1.1258217524757,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925940",-1.30853839160145,1.66750734202916,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925941",-1.65789995450388,1.06583109733592,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925994",-1.94360382636352,1.14732399655634,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925995",-1.33098438131732,1.21034837477302,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926003",-1.82514911814042,1.24919644929031,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926013",0.210302730088086,0.964676778873012,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926022",-0.175178103263624,1.29499642605768,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926049",-1.12685420538711,1.49191898567786,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926068",-0.288476982357865,0.968664815946958,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926080",0.0947561380631646,1.26224594605744,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926190",-0.85769588768331,1.2516687243328,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926203",-1.77349712586649,0.833640074310498,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926213",-1.10107956860344,0.30508025129002,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926265",-2.26856946027208,1.17703905495486,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926306",-0.914478834187913,1.50424948304712,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926387",-1.04529480842068,1.22757641039836,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926424",-1.23691150341443,0.862396230849862,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926562",0.114761536500324,0.341358176339008,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926645",-1.26746489731844,1.36588442220257,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926648",-1.32468987979881,1.22961452876186,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926649",-0.876617711947877,1.37017760511706,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926651",-1.62684326062456,1.32499029905726,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926709",-1.51283407777459,1.48730830542229,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926763",-2.24658337958885,1.06044803582026,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926777",-1.80910685650702,1.1219972342871,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926816",-0.595578509949057,1.29954605397687,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926830",-0.322033504389497,1.44453031768195,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926831",-0.446416915671129,1.46491712047551,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116926843",-0.202085529668391,1.30332712770316,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927027",-0.725905109179929,1.88637950544405,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927095",-1.22503594854796,1.39501626611983,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927211",-2.18736147187289,0.788348534588089,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927255",-1.13742664112667,0.316466470497482,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927303",-1.21802737721935,1.28954870081224,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927330",-0.789911909606747,1.46465953360933,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927336",-1.56965661888237,1.47658273198757,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927338",-1.73899261457271,1.41072973779355,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927339",-1.9420998653861,1.26722994999048,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927361",-1.25966131690926,1.50779237955149,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927399",-0.833968353996212,0.303408184787611,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927453",-0.680700481500441,1.58700392865048,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927469",-1.74029506128957,1.17206703094247,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116927482",-1.4870415265072,1.53939057096544,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
